START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,Starting_Date,Time,Start_Hour,Minutes,Round_Trip,Months,WEEKDAYS,Ride_duration
2016-01-11 11:56:00,2016-01-11 12:03:00,Business,Flatiron District,Midtown,1.6,Errand/Supplies,2016-01-11,12.0,Afternoon,0 days 00:07:00,no,Jan,Monday,7.0
2016-01-11 13:32:00,2016-01-11 13:46:00,Business,Midtown,Midtown East,1.7,Meal/Entertain,2016-01-11,13.0,Afternoon,0 days 00:14:00,no,Jan,Monday,14.0
2016-01-11 14:30:00,2016-01-11 14:43:00,Business,Midtown East,Midtown,1.9,Meal/Entertain,2016-01-11,14.0,Afternoon,0 days 00:13:00,no,Jan,Monday,13.0
2016-01-12 12:33:00,2016-01-12 12:49:00,Business,Midtown,Hudson Square,1.9,Meal/Entertain,2016-01-12,12.0,Afternoon,0 days 00:16:00,no,Jan,Tuesday,16.0
2016-01-12 12:53:00,2016-01-12 13:09:00,Business,Hudson Square,Lower Manhattan,4.0,Meal/Entertain,2016-01-12,13.0,Afternoon,0 days 00:16:00,no,Jan,Tuesday,16.0
2016-01-12 14:42:00,2016-01-12 14:56:00,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,2016-01-12,14.0,Afternoon,0 days 00:14:00,no,Jan,Tuesday,14.0
2016-01-12 15:13:00,2016-01-12 15:28:00,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,2016-01-12,15.0,Afternoon,0 days 00:15:00,no,Jan,Tuesday,15.0
2016-01-12 15:42:00,2016-01-12 15:54:00,Business,Hell's Kitchen,Midtown,2.0,Errand/Supplies,2016-01-12,15.0,Afternoon,0 days 00:12:00,no,Jan,Tuesday,12.0
2016-01-12 16:02:00,2016-01-12 17:00:00,Business,New York,Queens County,15.1,Meeting,2016-01-12,17.0,Evening,0 days 00:58:00,no,Jan,Tuesday,58.0
,,Business,Downtown,Gulfton,11.2,Meeting,,,,,no,,,
,,Business,Gulfton,Downtown,11.8,Meeting,,,,,no,,,
,,Business,Houston,Houston,21.9,Customer Visit,,,,,yes,,,
,,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies,,,,,no,,,
,,Business,Morrisville,Cary,8.0,Errand/Supplies,,,,,no,,,
,,Business,Cary,Durham,10.4,Meal/Entertain,,,,,no,,,
,,Business,Durham,Cary,10.4,Meal/Entertain,,,,,no,,,
,,Business,Cary,Cary,4.8,Meal/Entertain,,,,,yes,,,
,,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain,,,,,no,,,
,,Business,Whitebridge,Lake Wellingborough,7.2,NOT,,,,,no,,,
,,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site,,,,,no,,,
,,Business,Cary,Raleigh,17.1,Meeting,,,,,no,,,
,,Business,Fayetteville Street,Umstead,15.1,Meeting,,,,,no,,,
,,Business,Raleigh,Cary,40.2,Customer Visit,,,,,no,,,
,,Business,Cary,Cary,1.6,Errand/Supplies,,,,,yes,,,
,,Business,Cary,Cary,2.4,Meal/Entertain,,,,,yes,,,
,,Business,Cary,Cary,1.0,Meal/Entertain,,,,,yes,,,
,,Business,Whitebridge,Hazelwood,2.0,Meal/Entertain,,,,,no,,,
,,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,,,,,no,,,
,,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,,,,,no,,,
,,Business,Cary,Cary,1.4,Errand/Supplies,,,,,yes,,,
,,Business,Cary,Cary,0.5,Errand/Supplies,,,,,yes,,,
,,Business,Cary,Cary,1.8,Meeting,,,,,yes,,,
,,Business,Cary,Raleigh,18.7,Customer Visit,,,,,no,,,
,,Business,Fairmont,Meredith Townes,3.4,Customer Visit,,,,,no,,,
,,Business,Raleigh,Raleigh,2.7,Customer Visit,,,,,yes,,,
,,Business,Raleigh,Cary,12.9,Customer Visit,,,,,no,,,
,,Business,Cary,Raleigh,19.0,Temporary Site,,,,,no,,,
,,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,,,,,no,,,
,,Business,Raleigh,Cary,15.7,Meeting,,,,,no,,,
,,Business,Cary,Cary,4.6,Customer Visit,,,,,yes,,,
,,Business,Cary,Cary,5.2,Meeting,,,,,yes,,,
,,Business,Cary,Durham,10.4,Meeting,,,,,no,,,
,,Business,Durham,Cary,10.1,Meeting,,,,,no,,,
,,Business,Cary,Apex,5.8,Errand/Supplies,,,,,no,,,
,,Business,Apex,Cary,5.5,Meal/Entertain,,,,,no,,,
,,Business,Cary,Apex,5.7,Errand/Supplies,,,,,no,,,
,,Business,Apex,Cary,5.7,Customer Visit,,,,,no,,,
2016-02-01 10:35:00,2016-02-01 11:15:00,Business,Cary,Chapel Hill,19.4,Customer Visit,2016-02-01,11.0,Afternoon,0 days 00:40:00,no,Feb,Monday,40.0
2016-02-01 12:10:00,2016-02-01 12:43:00,Business,Chapel Hill,Cary,23.3,Customer Visit,2016-02-01,12.0,Afternoon,0 days 00:33:00,no,Feb,Monday,33.0
2016-02-01 12:56:00,2016-02-01 13:07:00,Business,Northwoods,Whitebridge,3.9,Meal/Entertain,2016-02-01,13.0,Afternoon,0 days 00:11:00,no,Feb,Monday,11.0
2016-02-02 13:04:00,2016-02-02 13:23:00,Business,Whitebridge,Williamsburg Manor,8.3,Meeting,2016-02-02,13.0,Afternoon,0 days 00:19:00,no,Feb,Tuesday,19.0
2016-02-02 13:51:00,2016-02-02 14:06:00,Business,Cary,Cary,6.0,Errand/Supplies,2016-02-02,14.0,Afternoon,0 days 00:15:00,yes,Feb,Tuesday,15.0
2016-02-02 14:38:00,2016-02-02 14:42:00,Business,Cary,Cary,1.6,Errand/Supplies,2016-02-02,14.0,Afternoon,0 days 00:04:00,yes,Feb,Tuesday,4.0
2016-02-04 08:40:00,2016-02-04 09:01:00,Business,Cary,Morrisville,5.2,Errand/Supplies,2016-02-04,9.0,Morning,0 days 00:21:00,no,Feb,Thursday,21.0
2016-02-04 09:37:00,2016-02-04 10:09:00,Business,Morrisville,Cary,9.7,Meal/Entertain,2016-02-04,10.0,Morning,0 days 00:32:00,no,Feb,Thursday,32.0
2016-02-04 10:26:00,2016-02-04 10:32:00,Business,Cary,Cary,1.6,Meal/Entertain,2016-02-04,10.0,Morning,0 days 00:06:00,yes,Feb,Thursday,6.0
2016-02-04 15:59:00,2016-02-04 16:03:00,Business,Cary,Cary,1.1,Meal/Entertain,2016-02-04,16.0,Evening,0 days 00:04:00,yes,Feb,Thursday,4.0
2016-02-04 16:35:00,2016-02-04 16:39:00,Business,Cary,Cary,1.6,Meal/Entertain,2016-02-04,16.0,Evening,0 days 00:04:00,yes,Feb,Thursday,4.0
2016-02-04 18:04:00,2016-02-04 18:31:00,Business,Whitebridge,Macgregor Downs,9.0,Meeting,2016-02-04,18.0,Evening,0 days 00:27:00,no,Feb,Thursday,27.0
2016-02-04 20:36:00,2016-02-04 20:55:00,Business,Cary,Cary,7.7,Meeting,2016-02-04,20.0,Night,0 days 00:19:00,yes,Feb,Thursday,19.0
2016-02-05 11:47:00,2016-02-05 12:07:00,Business,Cary,Durham,10.4,Meeting,2016-02-05,12.0,Afternoon,0 days 00:20:00,no,Feb,Friday,20.0
2016-02-05 13:22:00,2016-02-05 13:41:00,Business,Durham,Cary,10.4,Meeting,2016-02-05,13.0,Afternoon,0 days 00:19:00,no,Feb,Friday,19.0
2016-02-06 16:20:00,2016-02-06 16:53:00,Business,Cary,Raleigh,11.4,Between Offices,2016-02-06,16.0,Evening,0 days 00:33:00,no,Feb,Saturday,33.0
2016-02-06 18:57:00,2016-02-06 19:21:00,Business,Raleigh,Cary,9.0,Errand/Supplies,2016-02-06,19.0,Evening,0 days 00:24:00,no,Feb,Saturday,24.0
2016-02-06 19:28:00,2016-02-06 19:37:00,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain,2016-02-06,19.0,Evening,0 days 00:09:00,no,Feb,Saturday,9.0
2016-02-07 16:49:00,2016-02-07 17:01:00,Business,Cary,Apex,5.6,Errand/Supplies,2016-02-07,17.0,Evening,0 days 00:12:00,no,Feb,Sunday,12.0
2016-02-07 18:03:00,2016-02-07 18:17:00,Business,Apex,Cary,5.7,Customer Visit,2016-02-07,18.0,Evening,0 days 00:14:00,no,Feb,Sunday,14.0
2016-02-07 18:39:00,2016-02-07 18:53:00,Business,Cary,Morrisville,6.1,Temporary Site,2016-02-07,18.0,Evening,0 days 00:14:00,no,Feb,Sunday,14.0
2016-02-07 20:22:00,2016-02-07 20:40:00,Business,Morrisville,Cary,6.1,Meeting,2016-02-07,20.0,Night,0 days 00:18:00,no,Feb,Sunday,18.0
2016-02-08 12:57:00,2016-02-08 13:08:00,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain,2016-02-08,13.0,Afternoon,0 days 00:11:00,no,Feb,Monday,11.0
2016-02-08 14:00:00,2016-02-08 14:10:00,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain,2016-02-08,14.0,Afternoon,0 days 00:10:00,no,Feb,Monday,10.0
2016-02-09 10:54:00,2016-02-09 11:07:00,Personal,Whitebridge,Northwoods,5.3,NOT,2016-02-09,11.0,Afternoon,0 days 00:13:00,no,Feb,Tuesday,13.0
2016-02-09 11:43:00,2016-02-09 11:50:00,Personal,Northwoods,Tanglewood,3.0,NOT,2016-02-09,11.0,Afternoon,0 days 00:07:00,no,Feb,Tuesday,7.0
2016-02-09 13:36:00,2016-02-09 13:52:00,Personal,Tanglewood,Preston,5.1,NOT,2016-02-09,13.0,Afternoon,0 days 00:16:00,no,Feb,Tuesday,16.0
2016-02-09 13:58:00,2016-02-09 14:02:00,Personal,Preston,Whitebridge,1.5,NOT,2016-02-09,14.0,Afternoon,0 days 00:04:00,no,Feb,Tuesday,4.0
2016-02-09 18:55:00,2016-02-09 19:11:00,Business,Cary,Morrisville,6.1,NOT,2016-02-09,19.0,Evening,0 days 00:16:00,no,Feb,Tuesday,16.0
2016-02-09 20:24:00,2016-02-09 20:40:00,Business,Morrisville,Cary,6.1,Meal/Entertain,2016-02-09,20.0,Night,0 days 00:16:00,no,Feb,Tuesday,16.0
2016-02-11 16:28:00,2016-02-11 17:10:00,Business,Cary,Raleigh,17.3,Meal/Entertain,2016-02-11,17.0,Evening,0 days 00:42:00,no,Feb,Thursday,42.0
2016-02-11 17:49:00,2016-02-11 18:10:00,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain,2016-02-11,18.0,Evening,0 days 00:21:00,no,Feb,Thursday,21.0
2016-02-11 18:24:00,2016-02-11 18:46:00,Business,Raleigh,Morrisville,13.5,Temporary Site,2016-02-11,18.0,Evening,0 days 00:22:00,no,Feb,Thursday,22.0
2016-02-11 20:36:00,2016-02-11 20:51:00,Business,Morrisville,Cary,6.1,Temporary Site,2016-02-11,20.0,Night,0 days 00:15:00,no,Feb,Thursday,15.0
2016-02-12 08:21:00,2016-02-12 08:42:00,Business,Cary,Durham,8.5,Temporary Site,2016-02-12,8.0,Morning,0 days 00:21:00,no,Feb,Friday,21.0
2016-02-12 10:45:00,2016-02-12 10:52:00,Business,Durham,Morrisville,2.6,Temporary Site,2016-02-12,10.0,Morning,0 days 00:07:00,no,Feb,Friday,7.0
2016-02-12 11:14:00,2016-02-12 11:35:00,Business,Morrisville,Raleigh,17.0,Customer Visit,2016-02-12,11.0,Afternoon,0 days 00:21:00,no,Feb,Friday,21.0
2016-02-12 13:02:00,2016-02-12 13:36:00,Business,Raleigh,Cary,18.0,Meeting,2016-02-12,13.0,Afternoon,0 days 00:34:00,no,Feb,Friday,34.0
2016-02-12 14:49:00,2016-02-12 15:06:00,Business,Cary,Morrisville,8.4,Meeting,2016-02-12,15.0,Afternoon,0 days 00:17:00,no,Feb,Friday,17.0
2016-02-12 15:33:00,2016-02-12 16:06:00,Business,Morrisville,Cary,11.5,Customer Visit,2016-02-12,16.0,Evening,0 days 00:33:00,no,Feb,Friday,33.0
,,Business,Cary,Morrisville,8.9,Meeting,,,,,no,,,
,,Personal,East Elmhurst,Jackson Heights,2.7,NOT,,,,,no,,,
,,Personal,Jackson Heights,East Elmhurst,1.8,NOT,,,,,no,,,
,,Business,East Elmhurst,New York,8.1,Meeting,,,,,no,,,
,,Business,Midtown,Midtown West,2.0,Meeting,,,,,no,,,
,,Business,New York,Long Island City,13.0,Meeting,,,,,no,,,
,,Business,Long Island City,Jamaica,13.9,Meeting,,,,,no,,,
,,Business,Katunayaka,Unknown Location,43.7,Customer Visit,,,,,no,,,
,,Business,Unknown Location,Colombo,14.1,NOT,,,,,no,,,
,,Business,Colombo,Colombo,2.6,NOT,,,,,yes,,,
,,Business,Colombo,Colombo,4.5,NOT,,,,,yes,,,
,,Business,Colombo,Colombo,1.7,NOT,,,,,yes,,,
,,Business,Colombo,Colombo,1.8,Temporary Site,,,,,yes,,,
,,Business,Colombo,Colombo,6.0,NOT,,,,,yes,,,
,,Business,Colombo,Nugegoda,1.1,Meal/Entertain,,,,,no,,,
,,Business,Nugegoda,Unknown Location,3.6,Errand/Supplies,,,,,no,,,
,,Business,Unknown Location,Colombo,14.7,Temporary Site,,,,,no,,,
,,Business,Colombo,Colombo,1.7,Meal/Entertain,,,,,yes,,,
,,Business,Colombo,Katunayaka,21.4,Temporary Site,,,,,no,,,
,,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies,,,,,yes,,,
,,Business,Unknown Location,Unknown Location,23.5,Temporary Site,,,,,yes,,,
,,Business,Unknown Location,Islamabad,12.7,Temporary Site,,,,,no,,,
,,Business,Islamabad,Unknown Location,6.0,Temporary Site,,,,,no,,,
,,Business,Unknown Location,Islamabad,5.2,Customer Visit,,,,,no,,,
,,Business,Islamabad,Unknown Location,10.0,Meeting,,,,,no,,,
,,Business,Unknown Location,Unknown Location,18.3,Meeting,,,,,yes,,,
,,Business,Unknown Location,Unknown Location,11.2,Meeting,,,,,yes,,,
,,Business,Unknown Location,Islamabad,7.6,Meeting,,,,,no,,,
,,Personal,Islamabad,Islamabad,1.5,NOT,,,,,yes,,,
,,Personal,Islamabad,Islamabad,1.0,NOT,,,,,yes,,,
,,Business,Islamabad,Unknown Location,7.3,Temporary Site,,,,,no,,,
,,Business,Unknown Location,Islamabad,3.5,NOT,,,,,no,,,
,,Business,Islamabad,Islamabad,4.2,NOT,,,,,yes,,,
,,Personal,Islamabad,Unknown Location,13.6,NOT,,,,,no,,,
,,Personal,Unknown Location,Unknown Location,2.5,NOT,,,,,yes,,,
,,Personal,Unknown Location,Islamabad,14.4,NOT,,,,,no,,,
,,Personal,Islamabad,Islamabad,3.0,NOT,,,,,yes,,,
,,Personal,Islamabad,Islamabad,1.5,NOT,,,,,yes,,,
,,Business,Islamabad,R?walpindi,18.4,NOT,,,,,no,,,
,,Business,R?walpindi,R?walpindi,23.1,Meeting,,,,,yes,,,
,,Personal,R?walpindi,Unknown Location,16.5,NOT,,,,,no,,,
,,Business,Unknown Location,Unknown Location,3.2,Errand/Supplies,,,,,yes,,,
,,Business,Unknown Location,Unknown Location,7.7,Errand/Supplies,,,,,yes,,,
,,Business,Unknown Location,Islamabad,14.5,NOT,,,,,no,,,
,,Business,Unknown Location,Islamabad,2.4,Errand/Supplies,,,,,no,,,
,,Business,Islamabad,Islamabad,4.6,Errand/Supplies,,,,,yes,,,
,,Business,Islamabad,Unknown Location,8.8,Meal/Entertain,,,,,no,,,
,,Business,Unknown Location,Unknown Location,8.3,Temporary Site,,,,,yes,,,
,,Business,Unknown Location,Unknown Location,22.7,Temporary Site,,,,,yes,,,
,,Business,Unknown Location,Islamabad,13.0,Temporary Site,,,,,no,,,
,,Business,Islamabad,Noorpur Shahan,8.1,Temporary Site,,,,,no,,,
,,Business,Noorpur Shahan,Unknown Location,2.2,Meal/Entertain,,,,,no,,,
,,Business,Unknown Location,Unknown Location,9.7,NOT,,,,,yes,,,
,,Business,Unknown Location,R?walpindi,20.0,Meeting,,,,,no,,,
,,Business,Morrisville,Cary,8.1,Customer Visit,,,,,no,,,
,,Business,Whitebridge,Preston,1.5,NOT,,,,,no,,,
,,Business,Preston,Whitebridge,1.7,Errand/Supplies,,,,,no,,,
,,Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies,,,,,no,,,
,,Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies,,,,,no,,,
,,Business,Whitebridge,Tanglewood,6.0,Meal/Entertain,,,,,no,,,
,,Business,Tanglewood,Whitebridge,5.8,Meal/Entertain,,,,,no,,,
,,Business,Whitebridge,Westpark Place,6.3,NOT,,,,,no,,,
,,Personal,Westpark Place,Whitebridge,1.7,NOT,,,,,no,,,
,,Business,Cary,Durham,10.6,Meeting,,,,,no,,,
,,Business,Durham,Cary,9.9,Meeting,,,,,no,,,
,,Personal,Whitebridge,Westpark Place,1.9,NOT,,,,,no,,,
,,Personal,Westpark Place,Hazelwood,4.2,NOT,,,,,no,,,
,,Personal,Hazelwood,Whitebridge,2.0,NOT,,,,,no,,,
,,Business,Whitebridge,Waverly Place,7.7,Meeting,,,,,no,,,
,,Business,Waverly Place,Whitebridge,6.8,Meeting,,,,,no,,,
,,Personal,Whitebridge,Westpark Place,2.1,NOT,,,,,no,,,
,,Business,Cary,Apex,3.8,Meeting,,,,,no,,,
,,Business,Apex,Cary,5.6,Meeting,,,,,no,,,
,,Business,Whitebridge,Hazelwood,2.6,NOT,,,,,no,,,
,,Business,Hazelwood,Whitebridge,6.6,Customer Visit,,,,,no,,,
2016-03-01 18:47:00,2016-03-01 19:10:00,Business,Whitebridge,Wayne Ridge,8.0,Meal/Entertain,2016-03-01,19.0,Evening,0 days 00:23:00,no,Mar,Tuesday,23.0
2016-03-01 21:27:00,2016-03-01 21:45:00,Business,Wayne Ridge,Whitebridge,8.0,Meeting,2016-03-01,21.0,Night,0 days 00:18:00,no,Mar,Tuesday,18.0
2016-03-03 09:45:00,2016-03-03 09:52:00,Personal,Whitebridge,Westpark Place,2.2,NOT,2016-03-03,9.0,Morning,0 days 00:07:00,no,Mar,Thursday,7.0
2016-03-03 11:04:00,2016-03-03 11:10:00,Business,Westpark Place,Whitebridge,2.3,Errand/Supplies,2016-03-03,11.0,Afternoon,0 days 00:06:00,no,Mar,Thursday,6.0
2016-03-03 14:44:00,2016-03-03 14:58:00,Business,Whitebridge,Northwoods,5.2,Meal/Entertain,2016-03-03,14.0,Afternoon,0 days 00:14:00,no,Mar,Thursday,14.0
2016-03-03 15:27:00,2016-03-03 15:48:00,Business,Cary,Raleigh,7.6,Customer Visit,2016-03-03,15.0,Afternoon,0 days 00:21:00,no,Mar,Thursday,21.0
2016-03-03 16:02:00,2016-03-03 16:42:00,Business,Raleigh,Cary,17.3,Meeting,2016-03-03,16.0,Evening,0 days 00:40:00,no,Mar,Thursday,40.0
2016-03-04 07:47:00,2016-03-04 08:06:00,Business,Cary,Durham,9.9,Meeting,2016-03-04,8.0,Morning,0 days 00:19:00,no,Mar,Friday,19.0
2016-03-04 09:46:00,2016-03-04 10:03:00,Business,Durham,Cary,9.9,Customer Visit,2016-03-04,10.0,Morning,0 days 00:17:00,no,Mar,Friday,17.0
2016-03-04 11:46:00,2016-03-04 12:06:00,Business,Cary,Durham,10.4,Meeting,2016-03-04,12.0,Afternoon,0 days 00:20:00,no,Mar,Friday,20.0
2016-03-04 13:03:00,2016-03-04 13:25:00,Business,Durham,Cary,10.9,Meeting,2016-03-04,13.0,Afternoon,0 days 00:22:00,no,Mar,Friday,22.0
2016-03-04 13:40:00,2016-03-04 14:09:00,Business,Cary,Raleigh,15.7,Customer Visit,2016-03-04,14.0,Afternoon,0 days 00:29:00,no,Mar,Friday,29.0
2016-03-04 15:56:00,2016-03-04 16:08:00,Business,Raleigh,Raleigh,4.9,Meal/Entertain,2016-03-04,16.0,Evening,0 days 00:12:00,yes,Mar,Friday,12.0
2016-03-04 16:16:00,2016-03-04 16:22:00,Business,Fayetteville Street,Depot Historic District,0.8,Errand/Supplies,2016-03-04,16.0,Evening,0 days 00:06:00,no,Mar,Friday,6.0
2016-03-04 16:43:00,2016-03-04 17:12:00,Business,Raleigh,Cary,13.5,Meeting,2016-03-04,17.0,Evening,0 days 00:29:00,no,Mar,Friday,29.0
2016-03-04 19:02:00,2016-03-04 19:08:00,Business,Cary,Morrisville,1.9,Temporary Site,2016-03-04,19.0,Evening,0 days 00:06:00,no,Mar,Friday,6.0
2016-03-04 19:16:00,2016-03-04 19:25:00,Business,Morrisville,Cary,2.0,Meal/Entertain,2016-03-04,19.0,Evening,0 days 00:09:00,no,Mar,Friday,9.0
2016-03-05 11:44:00,2016-03-05 11:59:00,Business,Cary,Morrisville,6.5,Meal/Entertain,2016-03-05,11.0,Afternoon,0 days 00:15:00,no,Mar,Saturday,15.0
2016-03-05 12:57:00,2016-03-05 13:12:00,Personal,Weston,Weston,4.2,NOT,2016-03-05,13.0,Afternoon,0 days 00:15:00,yes,Mar,Saturday,15.0
2016-03-05 14:08:00,2016-03-05 14:18:00,Personal,Morrisville,Cary,3.5,NOT,2016-03-05,14.0,Afternoon,0 days 00:10:00,no,Mar,Saturday,10.0
2016-03-05 14:39:00,2016-03-05 15:01:00,Business,Whitebridge,Wayne Ridge,7.8,Meal/Entertain,2016-03-05,15.0,Afternoon,0 days 00:22:00,no,Mar,Saturday,22.0
2016-03-05 16:52:00,2016-03-05 17:13:00,Business,Cary,Morrisville,7.8,Meal/Entertain,2016-03-05,17.0,Evening,0 days 00:21:00,no,Mar,Saturday,21.0
2016-03-05 17:23:00,2016-03-05 17:34:00,Business,Morrisville,Cary,3.9,Meal/Entertain,2016-03-05,17.0,Evening,0 days 00:11:00,no,Mar,Saturday,11.0
2016-03-07 09:10:00,2016-03-07 09:20:00,Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies,2016-03-07,9.0,Morning,0 days 00:10:00,no,Mar,Monday,10.0
2016-03-07 09:23:00,2016-03-07 09:47:00,Business,Cary,Raleigh,12.4,Customer Visit,2016-03-07,9.0,Morning,0 days 00:24:00,no,Mar,Monday,24.0
2016-03-07 12:10:00,2016-03-07 12:26:00,Business,Fayetteville Street,Meredith Townes,5.9,Customer Visit,2016-03-07,12.0,Afternoon,0 days 00:16:00,no,Mar,Monday,16.0
2016-03-07 13:57:00,2016-03-07 14:18:00,Business,Meredith Townes,Leesville Hollow,9.4,Meeting,2016-03-07,14.0,Afternoon,0 days 00:21:00,no,Mar,Monday,21.0
2016-03-07 15:19:00,2016-03-07 15:45:00,Business,Raleigh,Cary,11.9,Between Offices,2016-03-07,15.0,Afternoon,0 days 00:26:00,no,Mar,Monday,26.0
2016-03-08 14:38:00,2016-03-08 14:55:00,Business,Whitebridge,Waverly Place,7.2,Between Offices,2016-03-08,14.0,Afternoon,0 days 00:17:00,no,Mar,Tuesday,17.0
2016-03-08 15:35:00,2016-03-08 16:00:00,Business,Waverly Place,Whitebridge,7.6,Meal/Entertain,2016-03-08,16.0,Evening,0 days 00:25:00,no,Mar,Tuesday,25.0
2016-03-08 16:13:00,2016-03-08 16:25:00,Personal,Whitebridge,Whitebridge,1.6,NOT,2016-03-08,16.0,Evening,0 days 00:12:00,yes,Mar,Tuesday,12.0
2016-03-10 03:36:00,2016-03-10 03:53:00,Business,Cary,Morrisville,8.4,Meeting,2016-03-10,3.0,Morning,0 days 00:17:00,no,Mar,Thursday,17.0
2016-03-10 10:08:00,2016-03-10 10:37:00,Business,East Austin,West University,12.8,Meeting,2016-03-10,10.0,Morning,0 days 00:29:00,no,Mar,Thursday,29.0
2016-03-10 14:39:00,2016-03-10 14:55:00,Business,West University,South Congress,2.3,NOT,2016-03-10,14.0,Afternoon,0 days 00:16:00,no,Mar,Thursday,16.0
2016-03-10 16:18:00,2016-03-10 16:28:00,Business,South Congress,Arts District,1.6,NOT,2016-03-10,16.0,Evening,0 days 00:10:00,no,Mar,Thursday,10.0
2016-03-11 09:47:00,2016-03-11 09:59:00,Business,The Drag,Congress Ave District,2.0,Meal/Entertain,2016-03-11,9.0,Morning,0 days 00:12:00,no,Mar,Friday,12.0
2016-03-11 10:29:00,2016-03-11 10:36:00,Business,Congress Ave District,Downtown,0.8,NOT,2016-03-11,10.0,Morning,0 days 00:07:00,no,Mar,Friday,7.0
2016-03-11 11:57:00,2016-03-11 12:04:00,Business,Downtown,Red River District,1.2,NOT,2016-03-11,12.0,Afternoon,0 days 00:07:00,no,Mar,Friday,7.0
2016-03-11 13:43:00,2016-03-11 13:51:00,Business,Red River District,Downtown,1.0,NOT,2016-03-11,13.0,Afternoon,0 days 00:08:00,no,Mar,Friday,8.0
2016-03-11 19:21:00,2016-03-11 19:35:00,Business,South Congress,The Drag,2.1,NOT,2016-03-11,19.0,Evening,0 days 00:14:00,no,Mar,Friday,14.0
2016-03-12 09:13:00,2016-03-12 09:22:00,Business,The Drag,South Congress,2.2,NOT,2016-03-12,9.0,Morning,0 days 00:09:00,no,Mar,Saturday,9.0
2016-03-12 18:27:00,2016-03-12 18:37:00,Personal,South Congress,The Drag,1.9,NOT,2016-03-12,18.0,Evening,0 days 00:10:00,no,Mar,Saturday,10.0
